,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,Response,Country,Frequency,Monetary,Customer_Age
85,2n Cycle,Single,31859.0,1,0,3,0,SP,4,48,34
86,2n Cycle,Single,23830.0,0,0,3,0,SP,4,43,27
87,Graduation,Together,24639.0,1,1,3,0,AUS,6,44,41
88,PhD,Together,71604.0,0,0,3,1,SP,16,1196,68
89,Graduation,Together,27255.0,1,0,3,0,SP,4,37,29
90,Graduation,Together,55375.0,0,1,3,0,CA,8,162,36
91,PhD,Together,77037.0,0,1,3,0,SP,26,1123,53
92,Graduation,Single,24163.0,1,1,3,0,SP,4,17,43
93,PhD,Together,69476.0,0,0,3,0,US,14,1044,44
94,Graduation,Together,72063.0,0,1,3,0,GER,19,758,34
95,Master,Together,58646.0,0,1,3,0,SP,7,140,51
96,Master,Together,58646.0,0,1,3,0,GER,7,140,51
97,Master,Single,47570.0,1,1,3,1,US,6,121,64
98,Graduation,Together,80011.0,0,1,3,0,AUS,19,1395,33
99,PhD,Single,54998.0,0,1,3,1,SP,15,455,57
100,PhD,Single,60200.0,0,1,3,0,SP,19,685,65
101,Graduation,Together,63211.0,0,0,3,1,SP,18,1173,30
102,PhD,Single,48432.0,0,1,3,1,SA,14,424,39
103,PhD,Other,48432.0,0,1,3,0,CA,14,424,39
104,PhD,Other,48432.0,0,1,3,1,IND,14,424,39
105,Master,Together,62845.0,1,1,3,0,SP,17,1178,63
106,Master,Together,62845.0,1,1,3,1,SP,17,1178,63
107,PhD,Together,65220.0,0,0,3,1,GER,19,1282,47
108,PhD,Together,74214.0,0,0,3,0,SP,15,1711,22
109,2n Cycle,Together,96547.0,0,0,4,1,SP,21,809,34
110,Graduation,Together,53863.0,0,1,4,0,SP,15,473,59
111,Graduation,Together,50447.0,2,0,4,0,IND,7,148,44
112,Graduation,Together,37716.0,0,1,4,0,AUS,8,188,61
113,Graduation,Together,45203.0,2,0,4,1,SA,7,147,32
114,Master,Together,37368.0,1,0,4,0,SP,3,30,38
115,Graduation,Together,67225.0,0,1,4,0,US,20,868,58
116,Master,Together,65104.0,0,1,4,1,CA,15,1053,37
117,Master,Together,65104.0,0,1,4,0,SP,15,1053,37
118,Master,Together,81698.0,0,0,4,1,SP,24,1008,64
119,Graduation,Single,70566.0,0,1,4,0,SP,20,757,45
120,Graduation,Together,69096.0,0,1,4,0,GER,17,653,55
121,Graduation,Together,71434.0,0,1,4,0,SP,18,1400,51
122,Graduation,Together,33039.0,1,0,4,0,SP,6,78,35
123,Graduation,Together,33039.0,1,0,4,0,CA,6,78,35
124,Graduation,Together,46610.0,0,0,4,0,SP,13,467,55
125,Graduation,Single,49967.0,0,1,4,0,CA,12,306,55
126,Graduation,Together,53359.0,1,1,4,0,US,10,257,37
127,Master,Together,49505.0,1,1,4,0,SP,20,751,42
128,Master,Together,68657.0,0,0,4,0,AUS,17,1196,67
129,Graduation,Single,72071.0,0,1,4,0,SP,17,1338,59
130,Graduation,Single,72071.0,0,1,4,0,CA,17,1338,59
131,Master,Single,59235.0,1,0,4,0,IND,25,1128,46
132,Graduation,Together,21994.0,0,1,4,0,AUS,3,22,55
133,Graduation,Together,21994.0,0,1,4,0,SP,3,22,55
134,PhD,Together,,2,1,4,0,GER,17,603,55
135,Graduation,Together,69209.0,0,0,4,0,CA,14,1782,40
136,Graduation,Together,31928.0,1,0,5,0,IND,7,72,25
137,PhD,Single,74004.0,0,0,5,1,IND,14,1658,27
138,2n Cycle,Together,30390.0,0,0,5,0,IND,5,80,26
139,Graduation,Together,21355.0,1,0,5,1,US,5,68,28
140,Graduation,Together,26304.0,1,0,5,0,GER,3,16,44
141,2n Cycle,Together,85710.0,0,0,5,0,IND,25,1062,24
142,Graduation,Single,102692.0,0,0,5,1,SA,28,1112,39
143,Graduation,Single,58350.0,0,1,5,0,SP,23,1001,42
144,Graduation,Single,7500.0,1,1,5,0,SP,6,57,34
145,Master,Single,18890.0,0,0,5,1,SA,3,35,28
146,Basic,Together,20425.0,1,0,5,0,CA,5,57,26
147,Basic,Together,20425.0,1,0,5,0,GER,5,57,26
148,PhD,Single,41437.0,1,1,5,0,SP,4,32,55
149,Master,Together,49912.0,0,1,5,1,ME,22,874,63
150,Master,Together,49912.0,0,1,5,1,AUS,22,874,63
151,Graduation,Together,79823.0,0,1,6,0,AUS,22,1518,55
152,Graduation,Single,85683.0,0,0,6,1,SP,16,1789,60
153,PhD,Single,47025.0,1,1,6,0,SP,3,20,49
154,PhD,Together,68397.0,0,1,6,0,SA,20,1416,37
155,PhD,Together,38175.0,1,0,6,0,SP,8,153,29
156,Master,Single,46423.0,1,1,6,0,SP,6,92,41
157,Master,Single,46423.0,1,1,6,0,SP,6,92,41
158,Master,Together,30560.0,1,0,6,0,SA,4,31,37
159,Master,Together,30560.0,1,0,6,0,CA,4,31,37
160,Graduation,Single,60152.0,0,1,6,0,SP,22,943,34
161,Graduation,Together,29672.0,1,1,6,0,SA,3,25,48
162,Graduation,Together,29672.0,1,1,6,0,SP,3,25,48
163,Graduation,Together,70321.0,0,0,6,1,SP,24,1376,66
164,Graduation,Together,56181.0,0,1,6,0,SP,13,393,51
165,Basic,Together,24279.0,0,0,6,0,SP,8,263,22
166,PhD,Together,68462.0,0,0,6,0,SP,14,1670,43
167,PhD,Together,55424.0,0,1,6,1,SP,21,877,36
168,Graduation,Together,49094.0,0,1,6,0,SP,15,502,39
169,2n Cycle,Single,59184.0,0,1,6,0,SP,24,1072,51
170,Graduation,Together,67430.0,0,0,6,0,GER,28,1364,25
171,Master,Together,30522.0,0,1,6,0,SP,12,326,52
172,2n Cycle,Single,31878.0,0,1,7,0,SP,5,70,37
173,Graduation,Single,83528.0,0,0,7,1,SP,22,1650,22
174,Graduation,Together,90300.0,0,0,7,0,SP,19,1738,35
175,Master,Single,68092.0,0,0,7,0,SA,18,1281,35
176,Master,Together,53761.0,1,1,7,0,AUS,11,325,41
177,Graduation,Together,52845.0,1,0,7,0,SP,22,936,40
178,Graduation,Together,24027.0,1,0,7,0,SP,5,48,37
179,2n Cycle,Together,7500.0,1,0,7,0,IND,7,53,34
180,Graduation,Together,42586.0,1,1,7,1,SP,11,252,57
181,Graduation,Together,42586.0,1,1,7,1,SP,11,252,57
182,Basic,Together,9722.0,1,0,7,1,SP,7,103,39
183,PhD,Together,86836.0,0,0,7,1,SP,22,557,37
184,Graduation,Together,30467.0,1,0,8,0,CA,3,24,42
185,PhD,Together,54549.0,0,1,8,0,SA,10,233,62
186,Graduation,Together,19444.0,1,0,8,1,SA,7,54,32
187,Master,Together,69245.0,0,1,8,0,SA,21,843,58
188,PhD,Single,72968.0,0,0,8,1,SP,18,1958,50
189,Graduation,Together,48686.0,1,2,8,0,SP,3,20,60
190,Graduation,Together,73687.0,0,0,8,1,SA,21,1627,23
191,PhD,Single,82716.0,0,0,8,0,CA,27,1167,69
192,2n Cycle,Together,35523.0,1,0,8,0,GER,6,66,32
193,PhD,Single,60554.0,1,0,8,0,SA,21,811,38
194,Graduation,Together,64090.0,0,1,8,1,SA,19,797,57
195,Graduation,Single,61559.0,0,1,8,0,SP,16,530,48
196,PhD,Single,71670.0,0,0,8,1,SP,14,1766,51
197,PhD,Single,67680.0,0,1,8,0,AUS,18,606,62
198,Graduation,Together,54386.0,0,1,8,0,SP,15,470,32
199,PhD,Single,64108.0,0,1,8,0,AUS,26,1099,60
200,PhD,Together,69702.0,0,1,8,0,SP,24,1039,62
201,Graduation,Single,47958.0,0,1,8,0,SA,14,407,61
202,Graduation,Together,67716.0,0,1,8,0,CA,24,1016,53
203,Graduation,Together,34600.0,1,1,8,1,SP,12,318,42
204,Graduation,Together,34600.0,1,1,8,1,SP,12,318,42
205,Graduation,Together,48752.0,1,1,8,1,SP,12,316,43
206,2n Cycle,Together,15716.0,1,0,8,0,SA,7,92,24
207,PhD,Single,46610.0,0,2,8,1,AUS,11,302,60
208,Graduation,Together,74985.0,0,0,8,0,GER,16,1869,35
209,PhD,Single,45576.0,0,0,9,1,SP,7,145,69
210,PhD,Single,113734.0,0,0,9,0,SP,27,277,69
211,Graduation,Single,57100.0,1,0,9,0,SA,12,311,27
212,Graduation,Together,24434.0,2,0,9,0,IND,5,50,42
213,PhD,Together,37126.0,1,0,9,1,SP,5,72,43
214,Graduation,Single,45160.0,1,1,9,0,AUS,3,21,56
215,Graduation,Together,33178.0,1,0,9,0,SP,4,49,37
216,Master,Single,64866.0,0,1,9,0,CA,17,556,64
217,Master,Together,34176.0,0,1,9,0,CA,4,28,39
218,Master,Single,50014.0,1,0,9,0,SP,13,396,46
219,Graduation,Together,92344.0,0,0,9,0,AUS,20,1899,66
220,Master,Single,55282.0,1,0,9,0,SP,10,235,43
221,PhD,Single,48799.0,0,1,9,0,SP,12,331,50
222,PhD,Together,84169.0,0,0,9,1,SP,19,1919,31
223,PhD,Together,84169.0,0,0,9,1,SA,19,1919,31
224,Master,Single,39763.0,1,0,9,1,SP,8,167,42
225,PhD,Single,74165.0,0,0,9,0,CA,19,1293,38
226,Graduation,Single,42720.0,1,1,9,1,GER,17,654,48
227,Graduation,Together,65275.0,0,0,9,0,SP,20,746,69
228,Graduation,Together,36443.0,1,1,9,0,SP,7,138,52
229,Master,Together,43776.0,1,1,9,1,SA,11,275,61
230,Graduation,Together,56046.0,0,0,9,1,GER,19,692,48
231,Graduation,Together,65148.0,0,1,9,0,CA,19,1115,54
232,Graduation,Single,49431.0,0,1,9,0,SP,13,365,57
233,PhD,Together,32583.0,1,1,10,0,SP,3,9,53
234,Master,Single,16653.0,1,0,10,1,SP,6,69,35
235,2n Cycle,Together,26850.0,1,1,10,0,SP,7,63,43
236,Graduation,Together,51287.0,1,1,10,0,SP,8,182,46
237,2n Cycle,Together,43050.0,1,0,10,0,SP,6,76,41
238,Graduation,Together,73448.0,0,0,10,0,CA,18,725,45
239,Basic,Together,17256.0,1,0,10,0,US,5,62,21
240,Graduation,Single,86429.0,0,0,10,1,SA,18,1449,52
241,PhD,Together,33569.0,1,0,10,1,SP,4,63,30
242,2n Cycle,Together,25130.0,1,0,10,0,CA,5,50,33
243,Graduation,Together,62998.0,0,1,10,0,CA,14,463,61
244,2n Cycle,Together,26907.0,1,1,10,0,SP,4,22,37
245,2n Cycle,Together,26907.0,1,1,10,0,AUS,4,22,37
246,PhD,Together,45579.0,0,1,10,0,SP,9,183,65
247,Graduation,Together,47320.0,0,1,10,0,CA,14,414,56
248,PhD,Single,70179.0,0,1,10,0,SA,23,1034,37
249,PhD,Single,70179.0,0,1,10,0,US,23,1034,37
250,Master,Together,28072.0,1,0,10,0,CA,4,47,27
251,Graduation,Together,50501.0,1,1,10,1,IND,13,500,59
252,Graduation,Together,58917.0,1,2,10,0,SA,11,282,44
253,Graduation,Together,69372.0,0,0,10,1,CA,20,1381,64
254,Master,Together,35178.0,1,0,10,1,SP,4,59,42
255,Master,Together,35178.0,1,0,10,1,AUS,4,59,42
256,Graduation,Single,75693.0,0,0,10,1,SP,21,1442,44
257,Graduation,Together,69109.0,0,0,10,1,US,19,1555,30
258,Graduation,Together,69109.0,0,0,10,1,SP,19,1555,30
259,Graduation,Together,80134.0,0,0,11,0,SP,20,1378,20
260,Graduation,Single,64713.0,1,0,11,1,AUS,17,602,44
261,Graduation,Single,41411.0,0,0,11,0,SP,7,139,27
262,Graduation,Together,,1,0,11,0,US,3,19,30
263,PhD,Single,55521.0,1,2,11,1,SP,15,446,58
264,Master,Together,43795.0,0,1,11,1,SP,14,492,45
265,Graduation,Together,22070.0,1,0,11,0,SA,6,67,43
266,Master,Together,36408.0,1,1,11,0,GER,3,22,64
267,Graduation,Together,34026.0,1,1,11,0,CA,6,76,63
268,Graduation,Together,34026.0,1,1,11,0,SP,6,76,63
269,Graduation,Together,46049.0,1,1,11,1,SP,16,515,37
270,Master,Together,35641.0,1,0,11,1,SA,8,178,41
271,2n Cycle,Together,32414.0,0,0,11,0,SA,4,52,29
272,PhD,Together,59821.0,0,1,11,0,SA,20,734,58
273,Graduation,Together,34968.0,1,0,11,0,SA,10,221,33
274,PhD,Together,56320.0,0,1,11,0,SP,18,702,46
275,Master,Together,70091.0,1,0,11,0,SP,17,1161,44
276,Graduation,Together,46097.0,0,1,11,0,SA,10,241,57
277,PhD,Single,41003.0,0,0,11,0,SA,16,601,50
278,Graduation,Together,44911.0,0,1,11,0,SP,9,215,54
279,Graduation,Single,33249.0,1,0,11,0,AUS,6,112,38
280,Graduation,Single,33249.0,1,0,11,0,SP,6,112,38
281,PhD,Single,42873.0,1,1,11,0,CA,11,269,63
282,PhD,Together,51039.0,1,1,11,0,AUS,12,417,43
283,PhD,Together,78952.0,0,1,11,0,SP,19,2092,54
284,Master,Single,29435.0,1,1,11,1,CA,7,180,46
285,Graduation,Single,79865.0,0,1,12,0,SA,20,792,60
286,Graduation,Single,34176.0,1,0,12,0,CA,7,89,26
287,Graduation,Single,34176.0,1,0,12,0,IND,7,89,26
288,PhD,Together,65968.0,0,1,12,0,CA,16,495,44
289,Master,Single,86424.0,0,0,12,0,SA,27,1226,58
290,Graduation,Single,67272.0,0,1,12,0,SP,20,733,47
291,Graduation,Single,78499.0,0,0,12,1,CA,18,1334,56
292,Graduation,Together,77044.0,0,1,12,0,SP,29,1065,41
293,Graduation,Single,70515.0,0,0,12,1,ME,16,1258,20
294,Master,Together,17459.0,1,0,12,1,SP,6,69,38
295,PhD,Together,80336.0,0,0,12,0,SP,24,1052,43
296,Graduation,Together,15759.0,0,0,12,0,SP,3,17,57
297,2n Cycle,Together,26326.0,0,0,12,0,GER,3,18,37
298,Graduation,Together,62061.0,0,1,12,0,SP,21,800,37
300,Master,Single,75777.0,0,0,12,1,AUS,20,1438,31
301,Master,Single,75777.0,0,0,12,1,IND,20,1438,31
302,Master,Together,71499.0,0,1,12,0,SP,24,795,42
303,PhD,Single,31626.0,1,0,12,1,GER,5,86,35
304,Master,Together,42670.0,0,0,12,0,SA,10,241,21
305,Graduation,Single,83917.0,0,0,12,1,SP,20,1587,40
306,Master,Together,41021.0,1,0,12,1,SA,5,64,43
307,Graduation,Together,79456.0,0,0,12,1,SP,15,1401,56
308,Master,Single,78789.0,0,0,12,1,SP,15,1754,32
309,PhD,Together,50870.0,0,1,13,0,SP,5,63,62
310,Master,Together,35876.0,0,0,13,0,SP,7,129,31
311,Graduation,Together,23539.0,0,0,13,0,CA,6,81,57
312,Master,Single,32557.0,1,0,13,1,CA,6,80,47
313,2n Cycle,Together,62466.0,0,1,13,0,SP,21,889,44
314,2n Cycle,Together,62466.0,0,1,13,0,SP,21,889,44
315,Graduation,Together,54198.0,1,1,13,0,SP,10,235,47
316,PhD,Together,82170.0,0,0,13,0,SA,18,1908,35
317,PhD,Single,61798.0,0,0,13,0,SP,15,463,49
318,Basic,Single,15253.0,1,0,13,0,CA,4,29,21
319,Master,Together,78285.0,0,0,13,0,GER,20,1427,25
320,Graduation,Single,62535.0,0,1,13,0,SP,13,398,58
321,Basic,Together,27190.0,1,0,13,1,SP,3,18,40
322,2n Cycle,Together,48985.0,0,1,13,0,SP,5,75,45
323,Graduation,Together,72940.0,0,0,13,0,SA,12,981,43
324,2n Cycle,Together,36145.0,1,0,13,1,US,8,172,28
325,Graduation,Together,157146.0,0,0,13,0,SA,28,1730,36
326,Master,Together,81843.0,0,0,13,0,SP,26,1643,53
327,Graduation,Together,41883.0,1,0,13,0,CA,9,312,25
328,PhD,Together,45759.0,1,1,13,0,IND,5,68,49
329,PhD,Together,45759.0,1,1,13,0,SP,5,68,49
330,Graduation,Together,78394.0,0,0,13,1,SP,15,1428,27
331,Graduation,Single,30279.0,1,0,13,0,SP,4,37,23
332,Graduation,Single,30279.0,1,0,13,0,SP,4,37,23
333,Graduation,Single,31880.0,1,0,13,0,SP,3,15,42
334,Graduation,Single,60208.0,1,1,13,1,SP,18,656,39
335,Graduation,Together,78687.0,0,0,13,1,SP,18,2130,29
336,PhD,Together,37401.0,1,0,14,0,SP,5,48,41
337,PhD,Together,37401.0,1,0,14,0,IND,5,48,41
338,Graduation,Together,75315.0,0,1,14,0,SA,21,841,60
339,Graduation,Single,69263.0,0,1,14,0,CA,17,568,49
340,Graduation,Together,78569.0,0,0,14,1,SP,14,1736,68
341,PhD,Together,57705.0,0,1,14,0,SP,15,486,48
342,2n Cycle,Together,74805.0,0,1,14,0,SP,21,820,58
343,PhD,Together,66426.0,0,1,14,0,SP,18,1377,52
344,Master,Single,51529.0,0,1,14,0,SP,15,467,64
345,Graduation,Together,18100.0,0,0,14,0,SP,3,14,67
346,2n Cycle,Single,59601.0,0,1,14,0,US,11,797,36
347,2n Cycle,Together,20981.0,0,0,14,1,CA,6,73,36
348,Graduation,Together,74068.0,0,0,14,0,IND,23,1581,37
349,Graduation,Together,36790.0,0,0,14,1,SP,5,66,30
350,Graduation,Together,18793.0,1,0,14,0,SA,6,77,42
351,Graduation,Single,27421.0,0,0,14,0,SP,11,324,58
352,Graduation,Together,30675.0,1,0,14,0,SP,4,62,40
353,Graduation,Together,83145.0,0,0,14,1,SP,25,1833,38
354,Master,Together,34053.0,0,1,14,0,SP,6,103,44
355,Master,Single,31788.0,1,0,15,0,SA,7,60,31
356,2n Cycle,Together,45894.0,0,2,15,0,SP,4,51,40
357,Graduation,Single,41986.0,0,1,15,0,SP,7,63,36
358,PhD,Together,42769.0,0,1,15,0,CA,6,88,51
359,2n Cycle,Together,58582.0,0,1,15,0,SP,20,763,31
360,Graduation,Together,49096.0,1,1,15,0,CA,9,187,49
361,PhD,Single,76412.0,0,0,15,1,CA,17,1808,33
362,Graduation,Together,18929.0,0,0,15,0,SP,5,85,23
363,Graduation,Together,18929.0,0,0,15,0,SP,5,85,23
364,Graduation,Together,18929.0,0,0,15,0,IND,5,85,23
365,Master,Single,21888.0,1,0,15,1,SP,8,213,26
366,Graduation,Together,41580.0,1,1,15,0,SP,6,92,34
367,PhD,Together,31605.0,1,0,15,0,SP,7,125,33
368,PhD,Single,25509.0,1,0,15,1,SP,6,101,38
369,PhD,Single,25509.0,1,0,15,1,SP,6,101,38
370,Master,Single,33051.0,0,0,15,1,SP,18,835,53
371,PhD,Together,28764.0,1,1,16,0,SP,3,12,48
372,2n Cycle,Together,32146.0,1,0,16,0,CA,6,66,31
373,Graduation,Single,22148.0,0,0,16,0,SP,4,49,31
374,Graduation,Together,36781.0,1,0,16,1,SP,5,63,35
375,Master,Together,54197.0,0,1,16,0,SP,10,237,54
376,Graduation,Single,93790.0,0,0,16,1,CA,25,2349,44
377,Graduation,Single,24762.0,1,0,16,1,SA,6,86,42
378,Master,Together,30477.0,1,0,16,0,IND,5,66,30
379,2n Cycle,Single,11448.0,0,0,16,0,SP,3,14,38
380,Graduation,Single,70844.0,1,1,16,0,GER,12,294,46
381,Graduation,Single,30828.0,1,0,16,0,AUS,6,56,33
382,Master,Together,62513.0,0,1,16,0,US,20,716,46
383,2n Cycle,Together,27733.0,1,0,16,0,GER,5,57,32
384,PhD,Together,39435.0,1,0,16,0,SP,6,102,40
385,Master,Single,75345.0,0,0,16,1,SP,19,2087,43
386,2n Cycle,Together,20491.0,0,0,16,0,GER,3,30,27
387,Graduation,Together,36715.0,1,0,16,1,SP,13,357,41
388,Graduation,Together,71706.0,0,1,16,0,CA,21,1443,53
389,PhD,Together,69063.0,0,1,16,0,SP,13,928,46
390,Graduation,Together,24645.0,1,0,16,0,SA,3,17,24
391,Graduation,Together,35797.0,0,1,16,0,SA,5,68,37
392,Graduation,Together,44078.0,1,1,17,0,SA,5,41,45
393,Graduation,Single,26954.0,1,0,17,0,SP,3,17,43
394,PhD,Together,,1,0,17,0,AUS,4,42,42
395,PhD,Together,38887.0,1,0,17,0,AUS,4,42,42
396,2n Cycle,Together,65463.0,1,0,17,0,SP,17,562,40
397,PhD,Together,53537.0,1,1,17,0,IND,6,93,55
398,Master,Single,36230.0,1,0,17,0,SP,6,59,42
399,Graduation,Together,80763.0,0,0,17,1,SA,22,1415,63
400,PhD,Together,60585.0,1,1,17,1,CA,20,736,42
401,Graduation,Single,49166.0,0,1,17,0,IND,11,368,39
402,PhD,Together,75261.0,0,0,17,1,SP,16,1743,58
403,Graduation,Together,89891.0,0,0,17,0,AUS,25,836,22
404,Master,Together,72828.0,0,1,17,0,SP,22,1678,51
405,Graduation,Together,75278.0,0,0,17,0,SA,22,930,61
406,Graduation,Single,38557.0,1,0,17,0,CA,7,145,34
407,PhD,Together,81300.0,0,1,17,1,SP,18,1241,49
408,2n Cycle,Single,60161.0,0,1,17,0,CA,23,1071,47
409,PhD,Together,69389.0,0,1,17,0,AUS,21,797,35
410,Graduation,Single,64497.0,0,1,17,1,SA,24,1804,58
411,Graduation,Together,61014.0,0,1,17,0,IND,16,1147,32
412,Master,Together,44319.0,1,1,18,0,SA,5,37,39
413,2n Cycle,Together,53233.0,0,1,18,0,CA,4,40,57
414,Graduation,Together,77972.0,0,0,18,0,SA,19,1101,60
415,Graduation,Single,81361.0,0,0,18,0,GER,26,778,27
416,Graduation,Single,81361.0,0,0,18,1,SA,26,778,27
417,Basic,Single,25707.0,1,0,18,0,SP,4,21,30
418,PhD,Together,42403.0,1,0,18,0,SP,4,42,42
419,2n Cycle,Single,65704.0,0,0,18,0,GER,22,817,41
420,Graduation,Together,37406.0,1,0,18,1,SP,3,17,33
421,Master,Together,39767.0,0,0,18,0,SP,15,485,62
422,2n Cycle,Together,54210.0,0,1,18,0,SP,12,367,34
423,Graduation,Single,57136.0,0,0,18,1,SA,19,1179,46
424,Graduation,Together,40794.0,0,1,18,0,SP,14,434,38
425,Graduation,Together,83003.0,0,0,18,1,SP,21,1674,48
426,Master,Together,89058.0,0,0,18,0,CA,13,850,52
427,2n Cycle,Together,20193.0,0,0,18,0,SP,6,82,21
428,Graduation,Together,72099.0,0,0,18,0,SP,17,1188,38
429,Graduation,Together,43824.0,1,1,18,0,SP,8,186,41
430,Graduation,Together,66653.0,1,1,18,0,AUS,18,612,37
431,Graduation,Together,44359.0,1,1,19,0,SP,6,45,36
432,Graduation,Together,79410.0,0,0,19,0,SP,10,1370,53
433,Master,Together,55842.0,0,1,19,0,SP,16,518,37
434,Graduation,Single,79946.0,0,0,19,0,SA,21,1478,48
435,2n Cycle,Single,88194.0,0,1,19,1,GER,31,1274,35
